"grdc_no","wmo_reg","sub_reg","river","station","country","lat","lon","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr","miss"
1112340,1,1121,"BAKOYE","TOUKOTO","ML",13.45,-9.88,16000,-999,1987,1990,4,50.03422313,1952,1990,39,41.59482759,1952,1990,39,"16.967","0.535071312","33.441957",95.12
1112350,1,1121,"BAFING","DIBIA","ML",13.14,-10.48,33000,-999,1981,1990,10,81.68127054,1951,1990,40,20.37815126,1951,1990,40,"186.401","5.878341936","178.1315738",78.46
1112400,1,1121,"FALEME RIVIERE","FADOUGOU","ML",12.31,-11.23,9300,-999,1981,1990,10,70.01642935,1952,1990,39,6.047516199,1952,1990,39,"43.779","1.380614544","148.4531768",71.75
1112480,1,1121,"BAFING","DAKA SAYDOU","ML",12.15,-10.2,15500,-999,1981,1990,10,71.71412924,1952,1990,39,27.37068966,1952,1990,39,"142.502","4.493943072","289.9318111",93.09
1112500,1,1121,"BAFING","BAFING MAKANA","ML",12.33,-10.16,21700,-999,1981,1990,10,70.18072289,1981,1990,10,70,1981,1990,10,"166.238","5.242481568","241.5890124",92.68
1134020,1,1341,"SANKARANI","GUELELINKORO","ML",11.15,-8.55,23300,-999,1971,1979,9,2.295918367,1971,1979,9,1.941747573,1971,1979,9,"256.975","8.1039636","347.8095966",97.76
1134030,1,1341,"NIGER, RIVER","BANANKORO","ML",11.6833,-8.6667,71750,329,1967,2001,35,20.68320455,1967,1992,26,48.35526316,1967,2001,35,"808.004","25.48121414","355.1388731",55.69
1134040,1,1341,"SANKARANI","GOUALA","ML",11.97,-8.23,35300,-999,1954,1990,37,54.11519571,1954,1990,37,38.0952381,1954,1990,37,"314.791","9.927248976","281.2251835",76.83
1134050,1,1341,"SANKARANI","SELINGUE","ML",11.58,-8.17,34200,-999,1964,1992,29,36.90111154,1964,2012,49,45.83333333,1964,2012,49,"324.946","10.24749706","299.6344168",69.51
1134060,1,1341,"OUASSOULOU","YANFOLILA","ML",11.13,-8.2,4100,-999,1971,1979,9,53.93116514,1971,1979,9,51.92307692,1971,1979,9,"23.252","0.733275072","178.8475785",98.17
1134080,1,1341,"BAOULE","MADINA DIASSA","ML",10.8,-7.67,7900,-999,1971,1992,22,50.19399897,1971,1992,22,50.39370079,1971,1992,22,"42.151","1.329273936","168.2625235",88.62
1134100,1,1341,"NIGER, RIVER","KOULIKORO","ML",12.8667,-7.55,120000,290,1907,2006,100,0.831698489,1907,2012,106,16.42969984,1907,2012,106,"1372.034","43.26846422","360.5705352",25.81
1134110,1,1341,"BAOULE","BOUGOUNI","ML",11.4,-7.45,15700,-999,1956,1992,37,30.46776233,1956,2012,57,51.56950673,1956,2012,57,"98.869","3.117932784","198.5944448",84.55
